PERIODO,CO2 BEV,VEHICULOS BEV,CO2 BEV mitjana,CO2 Combustión,VEHICULOS Combustión,CO2 Combustión mitjana,CO2 GLP,VEHICULOS GLP,CO2 GLP mitjana,CO2 GNC,VEHICULOS GNC,CO2 GNC mitjana,CO2 HEV,VEHICULOS HEV,CO2 HEV mitjana,CO2 PHEV,VEHICULOS PHEV,CO2 PHEV mitjana,CO2 REEV,VEHICULOS REEV,CO2 REEV mitjana,CO2 GNL,VEHICULOS GNL,CO2 GNL mitjana,CO2 Hidrógeno,VEHICULOS Hidrógeno,CO2 Hidrógeno mitjana
2018-11,4.0,835,0.004790419161676647,12888235.662441898,100332,128.45588309255172,290750.0,2276,127.74604569420035,15511.082425213675,133,116.62467988882463,611297.1431810393,6314,96.81614557824506,24332.0,512,47.5234375,832.9333333333334,37,22.511711711711712,0.0,0.0,0.0,0.0,0.0,0.0
2018-12,80.0,1677,0.04770423375074538,13527768.877951397,106517,127.00103155319242,250378.6263290165,1953,128.20206161239963,15693.605974426808,134,117.11646249572244,595730.5335204459,6041,98.61455611992153,42598.0,861,49.47502903600465,610.25,27,22.60185185185185,0.0,0.0,0.0,0.0,0.0,0.0
2019-01,165.0,791,0.20859671302149177,13002364.818442741,101209,128.4704405580802,263830.1478826049,2064,127.82468405164967,16175.696875436392,142,113.91335827772107,777268.000872989,7620,102.00367465524789,26094.70391355157,541,48.23420316737813,771.2380952380952,30,25.707936507936505,156.0,1.0,156.0,0.0,0.0,0.0
2019-02,122.0,1017,0.119960668633235,13811986.908039423,107740,128.19739101577338,256567.0,2010,127.6452736318408,27441.663816671135,259,105.9523699485372,725606.5470531422,7024,103.30389337316944,24159.285989356635,489,49.40549282077021,945.575,35,27.016428571428573,140.0,1.0,140.0,0.0,1.0,0.0
2019-03,594.0,1472,0.40353260869565216,16678594.691864735,130795,127.51706633942226,308229.7340030693,2417,127.52574844975973,31071.487672904044,293,106.04603301332439,801812.111828445,7951,100.84418460928751,40065.0,828,48.38768115942029,669.5,27,24.796296296296298,216.0,1.0,216.0,0.0,0.0,0.0
2019-04,27.0,779,0.03465982028241335,16217619.472341385,127339,127.35783595238996,306162.30324466724,2386,128.31613715199802,52687.62165514915,499,105.58641614258347,798216.0568026539,7925,100.7212689971803,34296.24005242288,705,48.647149010528906,721.4897959183673,26,27.74960753532182,573.0,4.0,143.25,0.0,0.0,0.0
2019-05,178.0,1165,0.15278969957081545,16882431.935823314,132228,127.67667918915294,316070.50851990393,2468,128.06746698537435,91756.56278983892,898,102.17880043411907,1058627.3932029135,10567,100.18239738837073,33947.36433101426,710,47.81318919861163,756.35,30,25.211666666666666,143.0,1.0,143.0,0.0,0.0,0.0
2019-06,221.0,1350,0.1637037037037037,17262758.045357056,136317,126.63686880841756,326615.84467642807,2605,125.38036263970368,86380.89268148316,844,102.34702924346347,975783.3889850613,9544,102.2405059707734,23886.76410331481,493,48.451854164938766,474.5,19,24.973684210526315,134.0,1.0,134.0,0.0,0.0,0.0
2019-07,38.0,875,0.04342857142857143,15777543.98934038,123119,128.14873406493214,338599.894680521,2685,126.10796822365772,84495.14609795973,823,102.6672492077275,1029794.0832861753,10094,102.0204164143229,24654.0,537,45.910614525139664,1032.0,30,34.4,0.0,0.0,0.0,0.0,0.0,0.0
2019-08,505.0,619,0.815831987075929,10437813.160759442,80941,128.95582165724963,301612.0,2388,126.30318257956449,55476.31848134155,491,112.98639201902556,708688.045772681,6962,101.79374400641784,21229.0,474,44.78691983122363,448.25,15,29.883333333333333,551.0,4.0,137.75,0.0,0.0,0.0
2019-09,332.0,908,0.3656387665198238,10863105.040974999,85368,127.25031675774294,261829.51130742146,2115,123.79645924700779,67396.20905708248,642,104.97851878050231,882930.5257667308,8480,104.11916577437863,27035.0,572,47.26398601398601,488.44444444444446,19,25.70760233918129,0.0,0.0,0.0,0.0,0.0,0.0
2019-10,352.0,998,0.3527054108216433,12890063.180340284,101200,127.37216581363917,168531.0,1365,123.46593406593406,87377.55648198692,839,104.14488257686165,1075844.0,10320,104.2484496124031,39910.44290623692,827,48.25930218408334,631.1746031746031,28,22.541950113378682,166.0,1.0,166.0,0.0,0.0,0.0
2019-11,575.0,942,0.6104033970276008,12421951.92822319,98117,126.60346248074433,114916.70793356257,926,124.10011655892286,81247.55325639421,768,105.7910849692633,1216407.750610329,11776,103.29549512655647,40938.0,881,46.467650397275825,353.75,16,22.109375,0.0,1.0,0.0,0.0,0.0,0.0
2019-12,94.0,1103,0.08522212148685404,13714723.131473701,109405,125.35737060896396,99004.8609979382,794,124.69126070269294,58202.698648543585,529,110.02400500669864,1199328.0,11321,105.93834466919884,41451.79018063329,852,48.652335892762075,195.0,8,24.375,0.0,0.0,0.0,0.0,0.0,0.0
2020-01,68.0,1816,0.037444933920704845,10745295.818467185,87401,122.94248141860145,69919.0,585,119.51965811965812,76164.06423601537,738,103.20333907319156,1238699.8890502232,11873,104.32914082794771,61770.0,1510,40.90728476821192,515.71875,19,27.143092105263158,88.0,1.0,88.0,0.0,0.0,0.0
2020-02,42.0,1717,0.0244612696563774,11886429.763594765,97639,121.73854467574192,46719.242949608735,385,121.34868298599672,61298.45931785951,637,96.22992043620017,1273209.746166714,12182,104.51565803371483,52469.1453215386,1283,40.895670554589714,889.0,28,31.75,270.0,2.0,135.0,0.0,0.0,0.0
2020-03,88.0,840,0.10476190476190476,4736392.1501485715,38128,124.22346176428272,20993.70226349559,182,115.35001243678896,26402.643699323282,334,79.04983143509965,601536.0,5870,102.47632027257241,25874.57640322065,668,38.734395813204564,428.5,10,42.85,103.0,1.0,103.0,184.0,1.0,184.0
2020-04,0.0,98,0.0,615746.2363810894,5206,118.27626515195725,1343.0,12,111.91666666666667,2263.0,102,22.186274509803923,36992.02250243665,336,110.09530506677575,2892.0,69,41.91304347826087,120.0,2,60.0,0.0,0.0,0.0,0.0,0.0,0.0
